"_id","_labels","party_movement_betweenness","all_betweenness","country","all_movement_betweenness","title","influence","active","name","community","party_community","betweenness","all_party_betweenness","total","europarty","established","seats","votes","ideology","active_movement_betweenness","_start","_end","_type"
"310",":Party","0","2742.154545454546","Poland","","law_and_justice","","","Law and Justice","55","55","476.5","476.5","460","<span style=""color:white;"">AECR</span>","2001","235","5711687","National conservatism , Christian democracy , soft euroscepticism Myant et al (2008), p. 88","",,,
"311",":Party","0","0","Switzerland","","swiss_people's_party","","","Swiss People's Party","23","23","0","0","200","","1971","65","740954","National conservatism , Skenderovic 2009 Geden 2006 Economic liberalism , Geden 2006 Agrarianism , Euroscepticism","",,,
"312",":Party","0","1577.8986311074539","Austria","","freedom_party_of_austria","","","Freedom Party of Austria","4","4","288.33333333333326","288.3333333333334","183","<span style=""color:white;"">MENL</span>","1956","51","1310614","National conservatism, right-wing populism , anti-immigration, euroscepticism","",,,
"313",":Party","0","930.6322011321993","Denmark","","danish_people's_party","","","Danish People's Party","4","4","136","136","179","MELD","1995","37","741746","National conservatism, Danish nationalism, Anti-immigration, Euroscepticism","",,,
"314",":Party","0","0","Belgium","","new_flemish_alliance","","","New Flemish Alliance","23","23","0","0","150","<span style=""color:white;"">EFA</span>","2001","33","1366397","Flemish nationalism , Regionalism , Separatism , Conservatism , Liberal conservatism , Republicanism","",,,
"315",":Party","0","3283.23424354134","Hungary","","jobbik","","","Jobbik","35","35","413","413","199","AENM","2003","26","1092669","Hungarian nationalism , Anti-Zionism , Greater Hungary","",,,
"316",":Party","0","2.5","Finland","","finns_party","","","Finns Party","55","55","2.5","2.5","200","<span style=""color:white;"">AECR</span>","1995","38","524054","Finnish nationalism, Anti-Immigration, Euroscepticism","",,,
"317",":Party","0","1423.4683963095729","Italy","","lega_nord","","","Lega Nord","4","4","354","354","630","<span style=""color:white;"">MENL</span>","1991","125","5691921","Regionalism , Anti-immigration , Euroscepticism , Anti-globalization","",,,
"318",":Party","0","0","Latvia","","national_alliance","","","National Alliance","35","35","0","0","100","<span style=""color:white;"">AECR</span>","2010","17","151567","Latvian nationalism","",,,
"319",":Movement","0","5","France (see History of the French far right)","5","mouvement_franciste","Fascism","No","Mouvement Franciste","","","","","","","","","","","",,,
